Specimen.ID,OMNH.Item..,Taxon,Habitat,Eva_.Sens,eco_type,Element.type,samp_type,d18O..VSMOW.,d18O,n,SD,SE
61284-a,61284,Neosuchian A,terrestrial,EI,Croc A,tooth,,15.58637508,15.58637508,1,NA,NA
61286-a,61286,Neosuchian A,terrestrial,EI,Croc A,tooth,,16.92962087,16.92962087,1,NA,NA
61286-b,61286,Neosuchian A,terrestrial,EI,Croc A,tooth,,18.3246319,18.3246319,1,NA,NA
61286-c,61286,Neosuchian A,terrestrial,EI,Croc A,tooth,,15.45987402,15.49069451,2,0.043586755,0.03082049
61286-d,61286,Neosuchian A,terrestrial,EI,Croc A,tooth,,23.14423417,23.14423417,1,NA,NA
UNCAT002-a,UNCAT002,Neosuchian A,terrestrial,,Croc A,tooth,,16.16911066,16.16911066,1,NA,NA
UNCAT003-a,UNCAT003,Neosuchian A,terrestrial,,Croc A,tooth,,17.96348348,17.96348348,1,NA,NA
61289-a,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,14.93984365,14.93984365,1,NA,NA
61289-b,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,16.43437907,16.43437907,1,NA,NA
61289-c,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,18.13089755,18.13089755,1,NA,NA
61289-d,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,18.59894675,18.59894675,1,NA,NA
61289-e,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,18.2587364,18.2587364,1,NA,NA
61289-f,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,16.38939855,16.38939855,1,NA,NA
61289-g,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,13.13811675,13.13811675,1,NA,NA
61289-h,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,19.19894981,19.19894981,1,NA,NA
61289-i,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,16.87756027,16.87756027,1,NA,NA
61289-j,61289,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,14.96614076,14.96614076,1,NA,NA
61327-a,61327,Neosuchian B,Semi-aquatic,EI,Croc B,tooth,,15.48203693,15.48203693,1,NA,NA
60433-a,60433,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,17.40248992,17.40248992,1,NA,NA
60433-b,60433,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,12.82166679,12.82166679,1,NA,NA
60433-c,60433,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,13.22586145,13.22586145,1,NA,NA
60433-e,60433,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,10.26975838,10.26975838,1,NA,NA
60433-f,60433,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,9.753627578,9.753627578,1,NA,NA
60433-g,60433,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,13.38731078,13.38731078,1,NA,NA
60442-a,60442,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,serial,13.02709329,13.04669884,2,0.027726428,0.019605545
61309-a,61309,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,17.24457823,17.24457823,1,NA,NA
61309-b,61309,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,17.11409049,16.93901814,2,0.247589692,0.17507235
61309-d,61309,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,15.8785373,15.8785373,1,NA,NA
61399-a,61399,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,17.61436836,17.61436836,1,NA,NA
61399-b,61399,Neosuchian G,Semi-aquatic,EI,Croc G,tooth,,10.97414118,10.97414118,1,NA,NA
60430-b,60430,Ornithischians,terrestrial,ES,Ornithischian,tooth,,19.53171901,19.53171901,1,NA,NA
61341-a,61341,Ornithischians,terrestrial,ES,Ornithischian,tooth,,17.02903048,17.02903048,1,NA,NA
61389-a,61389,Ornithischians,terrestrial,ES,Ornithischian,tooth,,14.17646587,14.17646587,1,NA,NA
80794-a,80794,Ornithischians,terrestrial,,Ornithischian,tooth fragment,bulk,13.82,13.795,2,0.035355339,0.025
80795-c,80795,Ornithischians,terrestrial,,Ornithischian,,,13.53,13.53,1,NA,NA
80795-d,80795,Ornithischians,terrestrial,,Ornithischian,,,15.74,15.89,2,0.212132034,0.15
60422-a,60422,Sauropods,terrestrial,,Sauropoda,tooth,,15.99889522,15.99889522,1,NA,NA
60423-a,60423,Sauropods,terrestrial,,Sauropoda,tooth,,18.99983903,18.99983903,1,NA,NA
60427-a,60427,Sauropods,terrestrial,ES,Sauropoda,tooth,serial,16.78534513,16.5326545,3,0.287448219,0.165958307
60482-a,60482,Sauropods,terrestrial,ES,Sauropoda,tooth,,21.1,21.78768467,2,0.972532987,0.68768467
60484-a,60484,Sauropods,terrestrial,ES,Sauropoda,tooth,,18.59571597,18.59571597,1,NA,NA
61220-a,61220,Sauropods,terrestrial,ES,Sauropoda,tooth,,19.1076203,19.1076203,1,NA,NA
UNCAT001-a,UNCAT001,Sauropods,terrestrial,,Sauropoda,tooth,,15.13298883,15.13298883,1,NA,NA
