"Serial.."	"OMNH.Item.."	"Specimen.ID"	"Sample.ID"	"Weight..µg."	"Date.sampled"	"Notes"	"Link.to.image"	"Taxon"	"thermophysiology"	"Eva_.Sens"	"Eco"	"Element.type"	"samp_type"	"Tissue"	"Xtal.Wt..ug."	"Yield"	"X..elements.in.sample"	"Glue."	"Analysis"	"Batch.."	"Crown.Ht..mm."	"Identifier.1"	"Amount"	"Ampl.28..mV."	"Area.28..Vs."	"X.O"	"d18O..VSMOW."
129	"61348"	"61348-a"	"61348-a.1"	345.7	"9/2/22"	"C. Sullivan sampled with micro-drill. Glued to slide. Some glue maybe included in sample. Some dentin included."	NA	"Deinonychus antirrhopus"	"endotherm"	""	"Small Theropod"	"tooth"	""	"enamel"	352.2	1.01880243	NA	1	2	2.1	NA	"61348-a1"	0.3522	2250	27.557	14.98825272	13.65553388
112	"61351"	"61351-a"	"61351-a.1a"	450.4	"5/24/22"	"1 of 2 from single site on 61351-a. Thin enamel, dentin inevitably included."	NA	"Deinonychus antirrhopus"	"endotherm"	"ES"	"Small Theropod"	"tooth"	""	"enamel"	365.6	0.811722913	NA	NA	1	1.3	NA	"61351-a1a"	0.3566	2502	31.605	16.40962198	12.72700545
114	"61352"	"61352-a"	"61352-a.1"	531.7	"5/24/22"	"Thin enamel. Some dentin inevitably included.  "	NA	"Deinonychus antirrhopus"	"endotherm"	"ES"	"Small Theropod"	"tooth"	""	"enamel"	697.2	1.311265751	NA	NA	1	1.3	NA	"61352-a1"	0.6972	4607	59.033	15.99716509	17.16617443
128	"61355"	"61355-a"	"61355-a.1a"	571.5	"9/2/22"	"Oversampled, 1 of 2 powders from this site. Glued to slide. "	NA	"Deinonychus antirrhopus"	"endotherm"	""	"Small Theropod"	"tooth"	""	"enamel"	332.7	0.582152231	NA	1	2	2.1	NA	"61355-a1a"	0.3327	1686	20.409	12.32167878	14.30604066
116	"61357"	"61357-a"	"61357-a.1"	394.7	"4/28/22"	"Enamel is extremely thin. Estimated 20-30% of sample is dentin, despite care taken to sample only enamel. "	NA	"Deinonychus antirrhopus"	"endotherm"	"ES"	"Small Theropod"	"tooth"	"serial"	"enamel"	NA	0	NA	NA	1	1.3	NA	"61357-a1"	0.3172	3510	44.495	25.72311962	13.8523666
130	"61361"	"61361-a"	"61361-a.1"	396.8	"9/2/22"	"C. Sullivan sampled with micro-drill. Some dentin maybe included."	NA	"Deinonychus antirrhopus"	"endotherm"	""	"Small Theropod"	"tooth"	""	"enamel"	NA	0	NA	NA	2	2.1	NA	"61361-a1"	0.3901	2961	36.682	17.44779328	17.44573973
118	"61389"	"61389-a"	"61389-a.1"	378.3	"5/24/22"	"Thin enamel. Some dentin inevitably included.  5/31/22 - Ag3PO4 did not xtalize after 20 hours in oven. Returned to oven for several more hours (see lab notebook)."	NA	"Sauropelta edwardsi"	"endotherm"	"ES"	"Ornithischian"	"tooth"	""	"enamel"	206.9	0.546920434	NA	NA	1	1.3	NA	"61389-a1"	0.2069	1457	17.964	15.46241255	14.17646587
58	"61399"	"61399-b"	"61399-b.1"	539.7	"2/9/22"	"Fragments of enamel from elsewhere than sampling site may have been vibrated loose and included in the sample. Some dentin may have vibrated loose as well. Some dentin is likely to have been accidentally sampled."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	570.6	1.05725403	NA	1	1	1.1	21.1	"61399-b1"	0.5706	3375	43.945	14.3840056	10.97414118
56	"61399"	"61399-a"	"61399-a.2"	523	"2/9/22"	"Fragments of enamel from elsewhere than sampling site may have been vibrated loose and included in the sample. Some dentin may have vibrated loose as well. "	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	653.1	1.24875717	NA	1	1	1.1	22.9	"61399-e2"	0.6531	3871	49.018	13.99521259	17.61436836
5	"61401"	"61401-a"	"61401-a.3"	489	"1/21/22"	"May have forgotten to wipe drill bit before sampling. Sample taken from most dermal layer of scute (light colored)."	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"bone"	NA	0	NA	NA	2	2.1	NA	"61401-a3"	0.3083	2363	29.238	18.03726705	11.14313235
9	"61402"	"61402-a"	"61402-a.1"	503.4	"1/22/22"	"Took 8 mins"	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"bone"	223.9	0.444775526	NA	NA	1	1.2	NA	"61402-a1"	0.2239	1640	19.083	16.22735567	15.12359459
10	"61402"	"61402-a"	"61402-a.2"	584.6	"1/22/22"	"Took 7 mins"	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"bone"	320.7	0.548580226	NA	NA	1	1.2	NA	"61402-a2"	0.3207	4218	54.509	31.04121886	17.12832694
NA	"80794"	"80794-a"	"80794-a.1"	NA	""	""	NA	"Tenontosaurus sp."	"endotherm"	""	"Ornithischian"	"tooth fragment"	"bulk"	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80794-a.1"	0.208	1365	18.188	16.17	13.82
NA	"80794"	"80794-a"	"80794-a.2"	NA	""	""	NA	"Tenontosaurus sp."	"endotherm"	""	"Ornithischian"	"tooth fragment"	"nulk"	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80794-a.2"	0.239	1898	24.317	17.94	13.77
NA	"80795"	"80795-c"	"80795-c.1"	NA	""	""	NA	"Ornithischia"	"endotherm"	""	"Ornithischian"	""	""	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80795-c.1"	0.46	2961	39.456	14.29	13.53
NA	"80795"	"80795-d"	"80795-d.1"	NA	""	""	NA	"Ornithischia"	"endotherm"	""	"Ornithischian"	""	""	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80795-d.1"	0.303	2190	29.038	16.63	15.74
NA	"80795"	"80795-d"	"80795-d.2"	NA	""	""	NA	"Ornithischia"	"endotherm"	""	"Ornithischian"	""	""	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80795-d.2"	0.118	745	10.048	17.95	16.04
NA	"80859"	"80859-a"	"80859-a.1"	NA	""	""	NA	"Hybodontiformes"	"ectotherm"	""	"Shark"	""	""	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80859-a.1"	0.116	611	9.133	17.05	10.8
NA	"80859"	"80859-b"	"80859-b.1"	NA	""	""	NA	"Hybodontiformes"	"ectotherm"	""	"Shark"	""	""	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80859-b.1"	0.266	1803	23.807	15.91	15.27
NA	"80859"	"80859-c"	"80859-c.1"	NA	""	""	NA	"Hybodontiformes"	"ectotherm"	""	"Shark"	""	""	"enamel"	NA	NA	NA	NA	NA	NA	NA	"80859-c.1"	0.269	1792	25.012	16.28	9.77
143	"UNCAT001"	"UNCAT001-a"	"UNCAT001-a.1"	501.6	"9/2/22"	"Good sample. Minor dentin contamination. "	NA	"Sauropoda"	"endotherm"	""	"Sauropoda"	"tooth"	""	"enamel"	565.2	1.126794258	NA	1	2	2.1	NA	"UC001-a1"	0.5652	2807	35.065	11.56900597	15.13298883
154	"UNCAT002"	"UNCAT002-a"	"UNCAT002-a.1"	475.5	"9/3/22"	"Good sample, maybe minor amount of dentin."	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	""	"Croc A"	"tooth"	""	"enamel"	NA	0	NA	NA	2	2.1	NA	"UC002-a1"	0.4225	2776	34.57	15.25423557	16.16911066
155	"UNCAT003"	"UNCAT003-a"	"UNCAT003-a.1"	366.8	"9/3/22"	"Some dentin included. "	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	""	"Croc A"	"tooth"	""	"enamel"	NA	0	NA	NA	2	2.1	NA	"UC003-a1"	0.3487	2263	28.121	15.40835283	17.96348348

