OMNH Item #,Specimen ID,Sample ID,Weight (µg),Date sampled,Taxon,Element type,samp_type,Tissue,Ag3PO4_Wt (ug),CO_Yield,d18O (VSMOW)
27873,27873-a,27873-a.3,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,15.01
27873,27873-b,27873-b.1,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,14.93
27873,27873-b,27873-b.2,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,16.23
27873,27873-b,27873-b.3,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,10.15
27873,27873-c,27873-c.1,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,12.99
27873,27873-d,27873-d.1,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,15.57
27873,27873-e,27873-e.1,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,15.12
27873,27873-e,27873-e.3,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,15.72
27873,27873-j,27873-j.1,,4/5/23,Lepisosteids,ganoid scale,bulk,ganoine,,,15.65
61221,61221-a,61221-a.1,491.7,2/5/22,Lepisosteids,ganoid scale,bulk,ganoine,330.5,0.67215782,14.21929209
61221,61221-b,61221-b.1,508.2,2/5/22,Lepisosteids,ganoid scale,bulk,ganoine,292.1,0.574773711,12.60158682
61221,61221-c,61221-c.1,580.6,2/5/22,Lepisosteids,ganoid scale,bulk,ganoine,551.9,0.950568378,14.76139967
61221,61221-e,61221-e.1,513.2,2/6/22,Lepisosteids,ganoid scale,bulk,ganoine,327.8,0.638737334,14.87163958
61573,61573-a,61573-a.1,567.5,9/2/22,Lepisosteids,tooth,bulk,enamel,793.2,1.397709251,13.99884977
61573,61573-b,61573-b.1,534.8,9/2/22,Lepisosteids,tooth,bulk,enamel,,0,11.52110142
61573,61573-c,61573-c.1,304.1,9/2/22,Lepisosteids,tooth,bulk,enamel,,0,9.468175898
60391,60391-a,60391-a.1,365.7,4/28/22,Allosauroid,tooth fragment,serial,enamel,463.5,1.267432322,15.09799283
60391,60391-a,60391-a.2,383.6,4/28/22,Allosauroid,tooth fragment,serial,enamel,408.4,1.064650678,14.58912521
