"Taxon","Mean_d18Owater","Lower_95_CI","Upper_95_CI"
"crocG",-7.53926128303099,-11.1739167765394,-3.60748418988479
"crocA",-5.01944642248677,-8.77485422063911,-0.980354762514918
"crocB",-5.42355700276848,-9.11501631263648,-1.47837064803113
"Glyptops",-8.32008625672238,-10.5038713724616,-5.99322212157831
"Naomichelys",-7.74592124329466,-9.69781260139678,-5.67068911484154
