OMNH Item,Specimen,SAMPLE ID,sample,site,Taxa,δ18Op,δ18Op-r,±1σ
OMNH 26277,OMNH 26277a,OMNH 26277a3,a3,MM,Chelonia costal frag,15.5,,0.3
OMNH 26277,OMNH 26277a,OMNH 26277a4,a4,MM,Chelonia costal frag,17.2,,0.3
OMNH 26277,OMNH 26277a,OMNH 26277a5,a5,MM,Chelonia costal frag,16.6,,0.2
OMNH 26277,OMNH 26277a,OMNH 26277a6,a6,MM,Chelonia costal frag,17.2,,0.2
OMNH 26277,OMNH 26277a,OMNH 26277a7,a7,MM,Chelonia costal frag,16.2,,0.2
OMNH 26277,OMNH 26277a,OMNH 26277a8,a8,MM,Chelonia costal frag,16.4,,0.2
OMNH 26277,OMNH 26277a,OMNH 26277a9,a9,MM,Chelonia costal frag,17.1,,0.2
OMNH 28785,OMNH 28785a,OMNH 28785a1,a1,MM,Bernissartia sp,19,,0.3
OMNH 28785,OMNH 28785b,OMNH 28785b1,b1,MM,Bernissartia sp,17.1,,0.3
OMNH 28785,OMNH 28785d,OMNH 28785d1,d1,MM,Bernissartia sp,16.1,,0.2
OMNH 28785,OMNH 28785e,OMNH 28785e1,e1,MM,Bernissartia sp,15.5,,0.2
OMNH 28785,OMNH 28785e,OMNH 28785e1_dup,e1_dup,MM,Bernissartia sp,15.8,,0.2
OMNH 28783,OMNH 28783b,OMNH 28783b1,b1,MM,Atoposauridae,18.5,,0.3
OMNH 28783,OMNH 28783d,OMNH 28783d1,d1,MM,Atoposauridae,16.8,,0.2
OMNH 32782 ,OMNH 32782a,OMNH 32782a1,a1,MM,Goniopholididae,16.1,,0.2
OMNH 32782 ,OMNH 32782b,OMNH 32782b1,b1,MM,Goniopholididae,19.5,,0.2
OMNH 32782,OMNH 32782d,OMNH 32782d1,d1,MM,Goniopholididae,18.4,,0.2
OMNH 26291,OMNH 26291a,OMNH 26291a1,a1,MM,Crocodylia,17.7,,0.09
OMNH 26291,OMNH 26291b,OMNH 26291b1,b1,MM,Crocodylia,17.1,,0.2
OMNH 26291,OMNH 26291c,OMNH 26291c1,c1,MM,Crocodylia,19.3,,0.2
OMNH 26496,OMNH 26496b,OMNH 26496b1,b1,MM,Ornithischia,17.6,,0.7
OMNH 26496,OMNH 26496d,OMNH 26496d1,d1,MM,Ornithischia,18,,0.5
OMNH 26496,OMNH 26496e,OMNH 26496e1,e1,MM,Ornithischia,18.4,,0.2
OMNH 26496,OMNH 26496c,OMNH 26496c1,c1,MM,Ornithischia,17.1,,0.2
OMNH 26496,OMNH 26496d,OMNH 26496d1,d1,MM,Ornithischia,17.3,,0.5
OMNH 26496,OMNH 26496e,OMNH 26496e1,e1,MM,Ornithischia,17.4,,0.5
OMNH 26496,OMNH 26496f,OMNH 26496f1,f1,MM,Ornithischia,16.9,,0.2
OMNH 26496,OMNH 26496g,OMNH 26496g1,g1,MM,Ornithischia,15.4,,0.2
OMNH 26496,OMNH 26496h,OMNH 26496h1,h1,MM,Ornithischia,17.5,,0.2
OMNH 26496,OMNH 26496i,OMNH 26496i1,i1,MM,Ornithischia,18.4,,0.2
OMNH 26496,OMNH 26496j,OMNH 26496j1,j1,MM,Ornithischia,16.6,,0.5
OMNH 27954,OMNH 27954a,OMNH 27954a1,a1,MM,Glyptops sp?,15.3,,0.6
OMNH 27954,OMNH 27954a,OMNH 27954a2,a2,MM,Glyptops sp?,15.4,,0.6
OMNH 27954,OMNH 27954a,OMNH 27954a3,a3,MM,Glyptops sp?,14.5,15.1,0.1/0.1
OMNH 27954,OMNH 27954b,OMNH 27954b1,b1,MM,Glyptops sp?,15.6,,0.11
OMNH 27954,OMNH 27954b,OMNH 27954b2,b2,MM,Glyptops sp?,16.4,,0.6
OMNH 27954,OMNH 27954b,OMNH 27954b3,b3,MM,Glyptops sp?,15.9,,0.6
OMNH 27954,OMNH 27954c,OMNH 27954c1,c1,MM,Glyptops sp?,15.8,,0.6
OMNH 28830,OMNH 28830a,OMNH 28830a1,a1,MM,Trionyclidae,16.4,,0.6
OMNH 28830,OMNH 28830a,OMNH 28830a2,a2,MM,Trionyclidae,16.2,,0.6
OMNH 28830,OMNH 28830a,OMNH 28830a3,a3,MM,Trionyclidae,14.7,,0.6
OMNH 28830,OMNH 28830a,OMNH 28830a4,a4,MM,Trionyclidae,16.2,,0.6
OMNH 27958,OMNH 27958a,OMNH 27958a1,a1,MM,Naomichelys sp,15.9,,0.6
OMNH 27958,OMNH 27958a,OMNH 27958a2,a2,MM,Naomichelys sp,16.2,,0.6
OMNH 27958,OMNH 27958a,OMNH 27958a3,a3,MM,Naomichelys sp,15.6,,0.6
OMNH 27958,OMNH 27958a,OMNH 27958a4,a4,MM,Naomichelys sp,15.6,,0.6
OMNH 27958,OMNH 27958b,OMNH 27958b1,b1,MM,Naomichelys sp,16.1,,0.6
OMNH 27958,OMNH 27958b,OMNH 27958b2,b2,MM,Naomichelys sp,16,,0.6
OMNH 27958,OMNH 27958b,OMNH 27958b3,b3,MM,Naomichelys sp,16.3,,0.6
OMNH 27958,OMNH 27958c,OMNH 27958c1,c1,MM,Naomichelys sp,16,15.5,0.1/0.1
OMNH 27958,OMNH 27958c,OMNH 27958c2,c2,MM,Naomichelys sp,14.5,,0.6
OMNH 34571,OMNH 34571c,OMNH 34571croc-2,croc-2,MM,Crocodylia scute,15.6,,0.6
OMNH 34571,OMNH 34571c,OMNH 34571croc-3,croc-3,MM,Crocodylia scute,13.5,,0.6
OMNH 34571,OMNH 34571c,OMNH 34571croc-4,croc-4,MM,Crocodylia scute,15.9,,0
OMNH 27956,OMNH 27956a,OMNH 27956a1,a1,MM,Crocodylia scute,15.3,,0.6
OMNH 27956,OMNH 27956a,OMNH 27956a2,a2,MM,Crocodylia scute,15.2,,0.6
OMNH 27956,OMNH 27956a,OMNH 27956a3,a3,MM,Crocodylia scute,15.3,,0.6
OMNH 27956,OMNH 27956a,OMNH 27956a4,a4,MM,Crocodylia scute,15.1,,0
OMNH 27956,OMNH 27956b,OMNH 27956b1,b1,MM,Crocodylia scute,15.2,,0.6
OMNH 27956,OMNH 27956b,OMNH 27956b2,b2,MM,Crocodylia scute,15.3,,0.6
OMNH 27956,OMNH 27956c,OMNH 27956c1,c1,MM,Crocodylia scute,15.9,,0.6
OMNH 27956,OMNH 27956c,OMNH 27956c2,c2,MM,Crocodylia scute,16.9,,0.6
OMNH 26585,OMNH 26585a,OMNH 26585a1,a1,MM,Mammalia,18,,
OMNH 26585,OMNH 26585b,OMNH 26585b1,b1,MM,Mammalia,17.4,,0.5
OMNH 26585,OMNH 26585c,OMNH 26585c1,c1,MM,Mammalia,14.8,,0.2
OMNH 26585,OMNH 26585d,OMNH 26585d1,d1,MM,Mammalia,17,,0.2
OMNH 26585,OMNH 26585e,OMNH 26585e1,e1,MM,Mammalia,14.8,,0.2
OMNH 26585,OMNH 26585f,OMNH 26585f1,f1,MM,Mammalia,16.4,,0.2
OMNH 26585,OMNH 26585g,OMNH 26585g1,g1,MM,Mammalia,18,,0.2
OMNH 26585,OMNH 26585h,OMNH 26585h1,h1,MM,Mammalia,16,,0.2
OMNH 26585,OMNH 26585i,OMNH 26585i1,i1,MM,Mammalia,14.9,,0.2
OMNH 26585,OMNH 26585j,OMNH 26585j1,j1,MM,Mammalia,15.5,,0.2
OMNH 26585,OMNH 26585k,OMNH 26585k1,k1,MM,Mammalia,16.4,,0.2
CEUM 31234,CEUM 31234-,CEUM 31234-1,-1,RRM,Brachiosaur,17.9,,0.6
CEUM 31234,CEUM 31234-,CEUM 31234-2,-2,RRM,Brachiosaur,18,,0.6
CEUM 31234,CEUM 31234-,CEUM 31234-3,-3,RRM,Brachiosaur,18.5,,0.6
CEUM 31234,CEUM 31234-,CEUM 31234-4,-4,RRM,Brachiosaur,18.4,,0.6
CEUM 31234,CEUM 31234-,CEUM 31234-5,-5,RRM,Brachiosaur,18.3,,0.6
CEUM 31234,CEUM 31234-,CEUM 31234-6,-6,RRM,Brachiosaur,18.6,,0.6
CEUM 31234,CEUM 31234-,CEUM 31234-7,-7,RRM,Brachiosaur,17.8,,0.6
CEUM 31234,CEUM 31234-,CEUM 31234-8,-8,RRM,Brachiosaur,18.6,,0.6
CEUM 31234,CEUM 31234a,CEUM 31234a1,a1,RRM,Brachiosaur,16.6,,UM
CEUM 31234,CEUM 31234b,CEUM 31234b1,b1,RRM,Brachiosaur,17.6,,UM
CEUM 31948,CEUM 31948-,CEUM 31948-1,-1,RRM,Brachiosaur,19.4,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-2,-2,RRM,Brachiosaur,20.4,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-3,-3,RRM,Brachiosaur,19.9,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-4,-4,RRM,Brachiosaur,20.2,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-5,-5,RRM,Brachiosaur,20,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-6,-6,RRM,Brachiosaur,20.4,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-7,-7,RRM,Brachiosaur,21.9,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-8,-8,RRM,Brachiosaur,21.6,,0.6
CEUM 31948,CEUM 31948-,CEUM 31948-9,-9,RRM,Brachiosaur,21,,0.3
CEUM 31948,CEUM 31948-,CEUM 31948-10,-10,RRM,Brachiosaur,22.2,,0.3
CEUM 31948,CEUM 31948-,CEUM 31948-11,-11,RRM,Brachiosaur,21.2,,0.3
CEUM 31948,CEUM 31948-,CEUM 31948-12,-12,RRM,Brachiosaur,22.1,,0.3
CEUM 31948,CEUM 31948-,CEUM 31948-13,-13,RRM,Brachiosaur,21.3,,0.4
CEUM 31948,CEUM 31948-,CEUM 31948-14,-14,RRM,Brachiosaur,20.2,,0.4
CEUM12500,CEUM12500-1,CEUM12500-1,-1,RRM,Acrocanthosaur,18.2,,0.6
CEUM12500,CEUM12500-2,CEUM12500-2,-2,RRM,Acrocanthosaur,18,,0.6
CEUM12500,CEUM12500-3,CEUM12500-3,-3,RRM,Acrocanthosaur,17.9,,0.6
CEUM12500,CEUM12500-4,CEUM12500-4,-4,RRM,Acrocanthosaur,18.5,,0.6
CEUM12500,CEUM12500-5,CEUM12500-5,-5,RRM,Acrocanthosaur,17.8,,0.6
CEUM12500,CEUM12500-6,CEUM12500-6,-6,RRM,Acrocanthosaur,18.5,,0.6
CEUM12500,CEUM12500-7,CEUM12500-7,-7,RRM,Acrocanthosaur,18.1,,0.6
CEUM12500,CEUM12500-8,CEUM12500-8,-8,RRM,Acrocanthosaur,18.3,,0.6
CEUM23266,CEUM23266-1,CEUM23266-1,-1,RRM,Acrocanthosaur,20.6,,0.4
CEUM23266,CEUM23266-2,CEUM23266-2,-2,RRM,Acrocanthosaur,20.4,,0.4
CEUM23266,CEUM23266-3,CEUM23266-3,-3,RRM,Acrocanthosaur,20.7,,0.4
CEUM23266,CEUM23266-4,CEUM23266-4,-4,RRM,Acrocanthosaur,21.5,,0.4
CEUM23266,CEUM23266-5,CEUM23266-5,-5,RRM,Acrocanthosaur,21.7,,0.4
CEUM23266,CEUM23266-6,CEUM23266-6,-6,RRM,Acrocanthosaur,22.1,,0.4
CEUM23266,CEUM23266-7,CEUM23266-7,-7,RRM,Acrocanthosaur,23.5,,0.4
CEUM23266,CEUM23266-8,CEUM23266-8,-8,RRM,Acrocanthosaur,23,,0.4
CEUM 35842,CEUM 35842-,CEUM 35842-1,-1,RRM,Acrocanthosaur,19.7,,0
CEUM 35842,CEUM 35842-,CEUM 35842-2,-2,RRM,Acrocanthosaur,20.2,,0
CEUM 35842,CEUM 35842-,CEUM 35842-3,-3,RRM,Acrocanthosaur,18.7,,0
CEUM 35842,CEUM 35842-,CEUM 35842-4,-4,RRM,Acrocanthosaur,18.3,,0
CEUM 35842,CEUM 35842-,CEUM 35842-6,-6,RRM,Acrocanthosaur,15.2,,0
CEUM 31232,CEUM 31232-,CEUM 31232-1,-1,RRM,Acrocanthosaur,24.9,,0
CEUM 31232,CEUM 31232-,CEUM 31232-2,-2,RRM,Acrocanthosaur,23.7,23.9,0/0
CEUM 31232,CEUM 31232-,CEUM 31232-3,-3,RRM,Acrocanthosaur,24.7,,0
CEUM 31232,CEUM 31232-,CEUM 31232-4,-4,RRM,Acrocanthosaur,23.1,,0
CEUM 38739,CEUM 38739-,CEUM 38739-1,-1,RRM,small theropod,17.4,,0
CEUM 38739,CEUM 38739-,CEUM 38739-2,-2,RRM,small theropod,16.7,,0
CEUM 31946,CEUM 31946-,CEUM 31946-1,-1,RRM,small theropod,17.6,,0
CEUM 12760,CEUM 12760-,CEUM 12760-1,-1,RRM,small theropod,17.7,,0
CEUM 26312,CEUM 26312-,CEUM 26312-1,-1,RRM,small theropod,21.4,,0
CEUM 11736,CEUM 11736a,CEUM 11736a1,a1,RRM,turtle scute,14,,UM
CEUM 11736,CEUM 11736b,CEUM 11736b1,b1,RRM,turtle scute,13.4,,UM
CEUM 11736,CEUM 11736c,CEUM 11736c1,c1,RRM,turtle scute,15.9,,0.6
CEUM 11736,CEUM 11736d,CEUM 11736d1,d1,RRM,turtle scute,14.8,,0.6
CEUM 11736,CEUM 11736e,CEUM 11736e1,e1,RRM,turtle scute,16.1,,0.6
CEUM 11736,CEUM 11736f,CEUM 11736f1,f1,RRM,turtle scute,15.8,,0.4
CEUM 11736,CEUM 11736g,CEUM 11736g1,g1,RRM,turtle scute,15.7,,0.4
CEUM 11736,CEUM 11736h,CEUM 11736h1,h1,RRM,turtle scute,15.6,,0.4
CEUM 12843,CEUM 12843-,CEUM 12843-1,-1,RRM,Naomichelys sp,14.5,,0
CEUM 12843,CEUM 12843-,CEUM 12843-2,-2,RRM,Naomichelys sp,14.8,,0
CEUM 12843,CEUM 12843-,CEUM 12843-3,-3,RRM,Naomichelys sp,15.5,,0
CEUM 12843,CEUM 12843-,CEUM 12843-4,-4,RRM,Naomichelys sp,14.8,,0
CEUM 12843,CEUM 12843-,CEUM 12843-5,-5,RRM,Naomichelys sp,14.7,,0
CEUM 12843,CEUM 12843-,CEUM 12843-6,-6,RRM,Naomichelys sp,14.8,,0
NoID turtle,NoID turtle,NoID turtle-1,-1,RRM,turtle,13.7,,0
NoID turtle,NoID turtle,NoID turtle-2,-2,RRM,turtle,14.3,,0
NoID turtle,NoID turtle,NoID turtle-3,-3,RRM,turtle,14.7,,0
NoID turtle,NoID turtle,NoID turtle-4,-4,RRM,turtle,14.9,,0
CEUM 35798,CEUM 35798-,CEUM 35798-1,-1,RRM,crocodile tooth,17,,0
CEUM 35798,CEUM 35798-,CEUM 35798-2,-2,RRM,crocodile tooth,17.7,,0
CEUM 35798,CEUM 35798-,CEUM 35798-3,-3,RRM,crocodile tooth,17.5,,0
CEUM 35798,CEUM 35798-,CEUM 35798-4,-4,RRM,crocodile tooth,17,,0
CEUM 10882,CEUM 10882a,CEUM 10882a1,a1,RRM,crocodile tooth,16.7,,0
BYUVP11532-,BYUVP11532-,BYUVP11532-1,1,uYCM,sauropod,25.2,25.8,0.1/1
BYUVP11532-,BYUVP11532-,BYUVP11532-2,2,uYCM,sauropod,26.1,25.7,0.1/0.1
BYUVP11532-,BYUVP11532-,BYUVP11532-3,3,uYCM,sauropod,25.8,24.9,0.1/2
BYUVP11532-,BYUVP11532-,BYUVP11532-4,4,uYCM,sauropod,25.8,25.2,0.1/0.2
BYUVP11532-,BYUVP11532-,BYUVP11532-5,5,uYCM,sauropod,21.6,,0.1
BYUVP11532-,BYUVP11532-,BYUVP11532-6,6,uYCM,sauropod,24.3,23.9,0.1/01
BYUVP11532-,BYUVP11532-,BYUVP11532-7,7,uYCM,sauropod,26.3,25.9,0.1/0.2
BYUVP 18156-,BYUVP 18156,BYUVP 18156-1,1,uYCM,sauropod,22.3,,0.2
BYUVP 18156-,BYUVP 18156,BYUVP 18156-2,2,uYCM,sauropod,22,,0.2
BYUVP 18156-,BYUVP 18156,BYUVP 18156-3,3,uYCM,sauropod,22.5,,0.2
BYUVP 18156-,BYUVP 18156,BYUVP 18156-4,4,uYCM,sauropod,22.4,22.7,0.1/0.1
BYUVP 18156-,BYUVP 18156,BYUVP 18156-5,5,uYCM,sauropod,22.5,,0.1
BYUVP-18171-,BYUVP-18171,BYUVP-18171-1,1,uYCM,sauropod,22.3,,0.1
BYUVP-18171-,BYUVP-18171,BYUVP-18171-2,2,uYCM,sauropod,22.9,,0.1
BYUVP-18171-,BYUVP-18171,BYUVP-18171-3,3,uYCM,sauropod,22.6,,0.1
BYUVP-18171-,BYUVP-18171,BYUVP-18171-4,4,uYCM,sauropod,22,,0.1
BYUVP-18171-,BYUVP-18171,BYUVP-18171-5,5,uYCM,sauropod,21.4,,0.1
BYUVP 18185-,BYUVP 18185,BYUVP 18185-1,1,uYCM,sauropod,17.3,,0.1
BYUVP 18185-,BYUVP 18185,BYUVP 18185-2,2,uYCM,sauropod,16.8,,0.1
BYUVP 18185-,BYUVP 18185,BYUVP 18185-3,3,uYCM,sauropod,17.1,,0.1
BYUVP 18185-,BYUVP 18185,BYUVP 18185-4,4,uYCM,sauropod,17.2,,0.1
BYUVP 18185-,BYUVP 18185,BYUVP 18185-5,5,uYCM,sauropod,17.2,,0.1
BYUVP14173-,BYUVP14173-,BYUVP14173-1,1,uYCM,Utahraptor,18,,0.2
BYUVP14173-,BYUVP14173-,BYUVP14173-2,2,uYCM,Utahraptor,18.7,,0.2
BYUVP14173-,BYUVP14173-,BYUVP14173-3,3,uYCM,Utahraptor,19.1,,0.2
BYUVP14173-,BYUVP14173-,BYUVP14173-4,4,uYCM,Utahraptor,18.5,,0.2
BYUVP 18104-,BYUVP 18104,BYUVP 18104-1,1,uYCM,Utahraptor,15.6,,0.1
BYUVP 18104-,BYUVP 18104,BYUVP 18104-2,2,uYCM,Utahraptor,16.8,,0.1
BYUVP 18104-,BYUVP 18104,BYUVP 18104-3,3,uYCM,Utahraptor,16.7,,0.1
BYUVP 18104-,BYUVP 18104,BYUVP 18104-4,4,uYCM,Utahraptor,18.3,,0.1
BYUVP 18104-,BYUVP 18104,BYUVP 18104-5,5,uYCM,Utahraptor,18.6,,0.1
BYUVP 14452-,BYUVP 14452,BYUVP 14452-1,1,uYCM,Utahraptor,17.7,,0.1
BYUVP 14452-,BYUVP 14452,BYUVP 14452-2,2,uYCM,Utahraptor,17.7,,0.1
BYUVP 14452-,BYUVP 14452,BYUVP 14452-3,3,uYCM,Utahraptor,18,,0.1
BYUVP 14452-,BYUVP 14452,BYUVP 14452-4,4,uYCM,Utahraptor,19.1,,0.5
BYUVP 14452-,BYUVP 14452,BYUVP 14452-5,5,uYCM,Utahraptor,18.7,,0.1
BYUVP 18099-,BYUVP 18099,BYUVP 18099-1,1,uYCM,Utahraptor,17.8,,0.5
BYUVP 18099-,BYUVP 18099,BYUVP 18099-2,2,uYCM,Utahraptor,17.9,,0.5
BYUVP 18099-,BYUVP 18099,BYUVP 18099-3,3,uYCM,Utahraptor,19,,0.5
BYUVP 18099-,BYUVP 18099,BYUVP 18099-4,4,uYCM,Utahraptor,18.8,,0.1
BYUVP 18099-,BYUVP 18099,BYUVP 18099-5,5,uYCM,Utahraptor,19,,0.1
BYUVP11340-,BYUVP11340-,BYUVP11340-1,1,uYCM,Iguanodontid,22.3,,0.2
BYUVP11340-,BYUVP11340-,BYUVP11340-2,2,uYCM,Iguanodontid,22,,0.2
BYUVP11340-,BYUVP11340-,BYUVP11340-3,3,uYCM,Iguanodontid,20.9,,0.2
BYUVP11340-,BYUVP11340-,BYUVP11340-4,4,uYCM,Iguanodontid,22.2,,0.2
BYUVP11340-,BYUVP11340-,BYUVP11340-5,5,uYCM,Iguanodontid,21.6,,0.2
BYUVP11340-,BYUVP11340-,BYUVP11340-6,6,uYCM,Iguanodontid,22.2,,0.2
BYUM-CISGO-TS014-,BYUM-CISGO-,BYUM-CISGO-TS014-1,1,uYCM,Chelonia,14.2,,0.4
BYUM-CISGO-TS014-,BYUM-CISGO-,BYUM-CISGO-TS014-2,2,uYCM,Chelonia,14.3,,0.3
BYUM-CISGO-TS014-,BYUM-CISGO-,BYUM-CISGO-TS014-3,3,uYCM,Chelonia,13.5,,0.3
BYUM-CISGO-TS014-,BYUM-CISGO-,BYUM-CISGO-TS014-4,4,uYCM,Chelonia,14,,0.3
BYUM-CISGO-TS014-,BYUM-CISGO-,BYUM-CISGO-TS014-5,5,uYCM,Chelonia,14.5,,0.3
DB-Brach1-,DB-Brach1-1,DB-Brach1-1,1,lYCM,Brachiosaur,24,,0.2
DB-Brach1-,DB-Brach1-2,DB-Brach1-2,2,lYCM,Brachiosaur,23.7,,0.2
DB-Brach1-,DB-Brach1-3,DB-Brach1-3,3,lYCM,Brachiosaur,23.7,,0.2
DB-Brach1-,DB-Brach1-4,DB-Brach1-4,4,lYCM,Brachiosaur,23.6,,0.2
DB-Brach1-,DB-Brach1-5,DB-Brach1-5,5,lYCM,Brachiosaur,22.8,,0.2
DB-Brach1-,DB-Brach1-6,DB-Brach1-6,6,lYCM,Brachiosaur,23.2,,0.2
DB-Brach1-,DB-Brach1-7,DB-Brach1-7,7,lYCM,Brachiosaur,22.8,,0.2
DB-Brach1-,DB-Brach1-8,DB-Brach1-8,8,lYCM,Brachiosaur,23.1,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-10,10,lYCM,Brachiosaur,23.3,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-11,11,lYCM,Brachiosaur,24.2,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-12,12,lYCM,Brachiosaur,24.1,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-13,13,lYCM,Brachiosaur,23.5,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-14,14,lYCM,Brachiosaur,24.1,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-15,15,lYCM,Brachiosaur,24.3,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-16,16,lYCM,Brachiosaur,24.1,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-17,17,lYCM,Brachiosaur,24,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-18,18,lYCM,Brachiosaur,24,,0.1
DB-Brach1-,DB-Brach1-1,DB-Brach1-19,19,lYCM,Brachiosaur,23.8,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-20,20,lYCM,Brachiosaur,23.4,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-21,21,lYCM,Brachiosaur,23.5,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-22,22,lYCM,Brachiosaur,23.8,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-23,23,lYCM,Brachiosaur,23.9,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-24,24,lYCM,Brachiosaur,24.4,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-25,25,lYCM,Brachiosaur,24.4,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-26,26,lYCM,Brachiosaur,23.7,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-27,27,lYCM,Brachiosaur,23.2,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-28,28,lYCM,Brachiosaur,23.4,,0.1
DB-Brach1-,DB-Brach1-2,DB-Brach1-29,29,lYCM,Brachiosaur,23.7,,0.1
DB-Brach1-,DB-Brach1-3,DB-Brach1-30,30,lYCM,Brachiosaur,22.9,,0.1
DB-Brach1-,DB-Brach1-3,DB-Brach1-31,31,lYCM,Brachiosaur,23.1,,0.1
DB-Brach1-,DB-Brach1-3,DB-Brach1-32,32,lYCM,Brachiosaur,22.1,,0.1
DB-Brach2-,DB-Brach2-1,DB-Brach2-1,1,lYCM,Brachiosaur,18.2,,0.2
DB-Brach2-,DB-Brach2-2,DB-Brach2-2,2,lYCM,Brachiosaur,17,,0.2
DB-Brach2-,DB-Brach2-3,DB-Brach2-3,3,lYCM,Brachiosaur,17.3,,0.2
DB-Brach2-,DB-Brach2-4,DB-Brach2-4,4,lYCM,Brachiosaur,17.8,,0.2
DB-Brach2-,DB-Brach2-5,DB-Brach2-5,5,lYCM,Brachiosaur,17.3,,0.2
DB-Brach2-,DB-Brach2-6,DB-Brach2-6,6,lYCM,Brachiosaur,17.2,,0.2
DB-Brach3-,DB-Brach3-1,DB-Brach3-1,1,lYCM,Brachiosaur,17.8,,0.2
DB-Brach3-,DB-Brach3-2,DB-Brach3-2,2,lYCM,Brachiosaur,17.7,,0.2
DB-Brach3-,DB-Brach3-3,DB-Brach3-3,3,lYCM,Brachiosaur,17.1,,0.2
DB-Brach3-,DB-Brach3-4,DB-Brach3-4,4,lYCM,Brachiosaur,20.8,,0.2
DB-Brach3-,DB-Brach3-5,DB-Brach3-5,5,lYCM,Brachiosaur,17.8,,0.2
DB-Brach3-,DB-Brach3-6,DB-Brach3-6,6,lYCM,Brachiosaur,17.4,,0.2
DB-Brach3-,DB-Brach3-7,DB-Brach3-7,7,lYCM,Brachiosaur,17.1,,0.2
DB-Acro-,DB-Acro-1,DB-Acro-1,1,lYCM,Acrocanthosaur,19.8,,0.2
DB-Acro-,DB-Acro-2,DB-Acro-2,2,lYCM,Acrocanthosaur,20,,0.2
DB-Acro-,DB-Acro-3,DB-Acro-3,3,lYCM,Acrocanthosaur,20.3,,0.2
DB-Acro-,DB-Acro-4,DB-Acro-4,4,lYCM,Acrocanthosaur,19.7,,0.2
DB-Acro-,DB-Acro-5,DB-Acro-5,5,lYCM,Acrocanthosaur,20,,0.2
DB-Acro-,DB-Acro-6,DB-Acro-6,6,lYCM,Acrocanthosaur,19.7,,0.2
DB-Acro-,DB-Acro-7,DB-Acro-7,7,lYCM,Acrocanthosaur,20.1,,0.2
DB-Acro-,DB-Acro-9,DB-Acro-9,9,lYCM,Acrocanthosaur,18.4,,0.2
DB-Acro-,DB-Acro-10,DB-Acro-10,10,lYCM,Acrocanthosaur,18.8,,0.2
DB-Acro-,DB-Acro-11,DB-Acro-11,11,lYCM,Acrocanthosaur,19.1,,0.2
DB-Acro-,DB-Acro-12,DB-Acro-12,12,lYCM,Acrocanthosaur,19.1,,0.2
DB-Acro-,DB-Acro-13,DB-Acro-13,13,lYCM,Acrocanthosaur,19.2,,0.2
DB-Acro-,DB-Acro-14,DB-Acro-14,14,lYCM,Acrocanthosaur,18.8,,0.2
DB-Acro-,DB-Acro-15,DB-Acro-15,15,lYCM,Acrocanthosaur,18.5,,0.2
DB-Acro-,DB-Acro-16,DB-Acro-16,16,lYCM,Acrocanthosaur,19.3,,0.2
DB-Acro-,DB-Acro-17,DB-Acro-17,17,lYCM,Acrocanthosaur,19.1,,0.2
DB-Acro-,DB-Acro-18,DB-Acro-18,18,lYCM,Acrocanthosaur,17.8,,0.2
DB-Acro-,DB-Acro-19,DB-Acro-19,19,lYCM,Acrocanthosaur,18.5,,0.2
DB-Acro-,DB-Acro-20,DB-Acro-20,20,lYCM,Acrocanthosaur,19.5,,0.2
DB-Acro-,DB-Acro-21,DB-Acro-21,21,lYCM,Acrocanthosaur,19.7,,0.2
DB-Acro-,DB-Acro-22,DB-Acro-22,22,lYCM,Acrocanthosaur,19.6,,0.2
DB-Acro-,DB-Acro-23,DB-Acro-23,23,lYCM,Acrocanthosaur,18.9,,0.2
DB-Acro-,DB-Acro-24,DB-Acro-24,24,lYCM,Acrocanthosaur,19.2,,0.2
DB-Acro-,DB-Acro-25,DB-Acro-25,25,lYCM,Acrocanthosaur,19.6,,0.2
DB-Acro-,DB-Acro-26,DB-Acro-26,26,lYCM,Acrocanthosaur,19.3,,0.2
DB-Acro-,DB-Acro-27,DB-Acro-27,27,lYCM,Acrocanthosaur,18.8,,0.2
