"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"KMT-11","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",11.6,1,NA,NA
"KMT-12","Theropoda indet.","C","theropod","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",11.2,1,NA,NA
"KMT-13","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",10.9,1,NA,NA
"KMT-14","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",13.3,1,NA,NA
"KMT-15","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",11.2,1,NA,NA
"KMT-16","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",12.4,1,NA,NA
"KMT-17","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",12.2,1,NA,NA
"KMT-18","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",12,1,NA,NA
"KMT-19","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",11.3,1,NA,NA
"KMT-20","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Albian","","","Tamba","Northeast Asia","35.189346","35.073863","",NA,"Amiot et al., 2021",12,1,NA,NA
"KTD-01","Goniopholididae indet.","C","croc","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",12.8,1,NA,NA
