"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"OMNH 27958a","Naomichelys sp","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.825,4,0.287228132326901,0.143614066163451
"OMNH 27958b","Naomichelys sp","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1333333333333,3,0.152752523165195,0.0881917103688198
"OMNH 27958c","Naomichelys sp","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.25,2,1.06066017177982,0.75
"OMNH 28265a","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 28265b","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.5,1,NA,NA
"OMNH 28265c","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 28265d","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.7,2,0.141421356237309,0.0999999999999996
"OMNH 28268a","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.2,3,0.3,0.173205080756888
"OMNH 28268b","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.5,1,NA,NA
"OMNH 28268c","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.2,1,NA,NA
"OMNH 28270a","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 28270b","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.7,1,NA,NA
"OMNH 28270c","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
