"group","values"
"Gar",13.9906541668627
"Gar",13.8178048416471
"Gar",13.8734969481176
"Gar",13.2686648790588
"Gar",13.2344443327059
"Gar",13.4881478732941
"Gar",14.273946796549
"Gar",13.7641581668627
"Gar",14.6707933329412
"Gar",14.9029280978431
"Gar",13.6978827681176
"Gar",13.7731499707843
"Gar",13.1899511694902
"Gar",13.745331698
"Gar",13.6573625923529
"Gar",14.0547858113725
"Gar",13.8161815011373
"Gar",13.0033382856471
"Gar",14.0779993312549
"Gar",13.7866523588235
"Gar",14.1010616307843
"Gar",13.7413001585098
"Gar",13.6484287070196
"Gar",13.0851587098431
"Gar",13.6081827076471
"Gar",12.5578503591373
"Gar",14.4261883184314
"Gar",14.0506650075294
"Gar",13.2982217138824
"Gar",13.898571892902
"Gar",13.4005138927059
"Gar",14.1483439052941
"Gar",13.7709409294902
"Gar",14.2170607831373
"Gar",13.5617953463529
"Gar",14.2003395847843
"Gar",13.766873444
"Gar",14.2459290364706
"Gar",14.0510368863529
"Gar",13.7748684010588
"Gar",13.1362725881176
"Gar",14.3414907164706
"Gar",14.3197870388235
"Gar",13.8840525220392
"Gar",12.9249836303529
"Gar",13.770577979098
"Gar",13.7588376994118
"Gar",13.2879478025882
"Gar",14.3389980843137
"Gar",13.8530264650588
"Gar",13.9454656072549
"Gar",13.360028464
"Gar",13.5396162962353
"Gar",13.9706739837255
"Gar",13.2159941801569
"Gar",13.8144757799608
"Gar",13.4702464934902
"Gar",13.6697430913333
"Gar",14.144323689098
"Gar",13.9661983843137
"Gar",13.1646683732941
"Gar",14.2377160260784
"Gar",13.8307088035294
"Gar",13.4127242863529
"Gar",12.9907485676078
"Gar",14.42498564
"Gar",14.0682695747843
"Gar",13.5949311253725
"Gar",14.4307392964706
"Gar",14.0160083123137
"Gar",14.0533589387059
"Gar",13.2112754395686
"Gar",13.8928104696078
"Gar",13.8719406762745
"Gar",13.0439869893725
"Gar",13.5678971616471
"Gar",13.7639941225098
"Gar",13.8659140256471
"Gar",13.7168314610588
"Gar",13.9482571763529
"Gar",14.2311380037255
"Gar",13.8086517277255
"Gar",13.7186459335686
"Gar",13.689796404
"Gar",13.3941080028235
"Gar",13.510730188
"Gar",13.2985371445882
"Gar",14.3677465231373
"Gar",13.3193433194902
"Gar",14.1163448396078
"Gar",13.7334631720392
"Gar",13.2064462793725
"Gar",13.6010866972549
"Gar",13.9731019195686
"Gar",13.5901493043922
"Gar",13.9348508717647
"Gar",13.5923050140784
"Gar",14.150396384
"Gar",13.8904353542745
"Gar",13.5450712363137
"Gar",13.8851617719608
"Gar",13.4005932503529
"Gar",13.7484426221176
"Gar",14.0025348348627
"Gar",13.2758282295686
"Gar",13.9180928219608
"Gar",14.5267266854902
"Gar",13.8741098104706
"Gar",13.4612415127059
"Gar",13.1753388417647
"Gar",14.017913962549
"Gar",14.0962704470588
"Gar",13.3437662658431
"Gar",13.4334720617255
"Gar",13.1635759702353
"Gar",13.5584522261569
"Gar",14.1252567275294
"Gar",13.6561340216471
