"Metric","Mean","Lower_95_CI","Upper_95_CI"
"Glyptops δ18Osw",-8.29419901810043,-10.5150047932121,-5.94476129259458
"CrocG δ18Osw",-7.55142098388821,-11.178454673223,-3.61601163895681
"dual_d18Osw",-7.99296188444709,-10.0924698181567,-5.76575020121547
"MAWSWT",26.1403909638967,9.8095126536943,42.8582536064345
"MAWSAT",24.2510880956273,9.85305253744535,40.1057851121439
